YEAR,MASTERS,,PGA,,US OPEN,,BRITISH,
,RTG,VWRS,RTG,VWRS,RTG,VWRS,RTG,VWRS
2019,6.9,10.8M,3.3,5.0M,4.4,7.3M,2.5,3.7M
2018,7.9,13.0M,5.4,8.5M,3.2,5.1M,4.3,6.5M
2017,6.8,11.1M,3.2,4.9M,3.1,5.1M,3.2,4.9M
2016,7.7,12.4M,3.4,5.3M,3.4,5.4M,3.3,4.9M
2015,8.7,14.0M,4.4,6.7M,4.2,6.7M,2.4,3.4M
2014,6.9,11.1M,5.3,8.2M,3,4.6M,2.3,3.3M
2013,9.4,14.7M,3.9,5.5M,5.4,8.4M,3.1,4.4M
2012,8,13.5M,3.4,4.9M,6,9.6M,3.1,4.2M
2011,9.5,15.3M,4.1,6.1M,4.5,7.4M,2.3,3.2M
2010,10.7,16.7M,4.3,6.5M,5.8,9.3M,2.1,3.0M
2009,8.3,14.3M,6.6,10.1M,4.7,7.1M,3.8,5.5M
2008,8.6,13.1M,2.8,4.0M,7.5,12.1M,3.3,4.6M
2007,9.1,14.9M,6.2,9.2M,6.4,9.5M,3.7,5.1M
2006,8.4,12.4M,7,10.1M,4.7,7.0M,4.6,6.4M
2005,9.8,14.6M,5.6,7.8M,5.6,8.0M,4.6,6.0M
2004,7.3,11.8M,4.4,6.3M,5.5,8.3M,4.3,6.0M
2003,8.3,11.7M,4.5,6.3M,4.9,6.8M,4.5,5.7M
2002,9.2,13.1M,7.5,10.7M,8.9,13.1M,4.5,6.2M
2001,13.3,19.2M,6.3,—,7.2,10.3M,4.5,—
2000,10,13.6M,8.8,—,8.1,11.3M,6.4,8.6M
1999,10.1,13.8M,6.9,—,6.8,9.6M,4.8,—
1998,10.2,15.6M,5.7,—,6,8.0M,5,—
1997,14.1,20.3M,5.5,—,6.8,9.2M,4.8,—
1996,9.2,12.4M,3.7,—,5.3,7.3M,3.1,—
1995,9.8,13.0M,4.8,—,5.6,7.0M,4.9,—
